ID_NUMBER,ACTIVITY_LOCATION,EVALUATION_IDENTIFIER,EVALUATION_TYPE,EVALUATION_DESC,EVALUATION_AGENCY,EVALUATION_START_DATE,FOUND_VIOLATION
GAD984309658,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,04/12/1995,N  
GAD984309658,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,07/14/1999,N  
GAD984309658,GA,APT,CEI,COMPLIANCE EVALUATION INSPECTION,E  ,07/14/1999,N  
GAD984297028,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,08/25/1999,N  
GAD984297044,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,02/18/1998,N  
GAD984297051,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,02/28/1992,N  
GAD984297051,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,06/10/1994,N  
GAD984297051,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,10/27/1999,N  
GAD984297085,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,02/17/1999,N  
GAD984297085,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,02/20/2003,Y  
GAD984297093,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,10/23/2001,Y  
GAD984297127,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,12/03/1997,N  
GAD984294421,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,12/19/1992,N  
GAD984294421,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,07/15/1994,N  
GAD984294439,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,03/24/1993,Y  
GAD984294447,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,11/19/1992,N  
GAD984294454,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,11/19/1992,N  
GAD981276454,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,01/18/1996,N  
GAD981276454,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,09/03/1998,N  
GAD981276470,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,03/17/1994,N  
GAD981277221,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,12/04/1995,N  
GAD984294512,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,12/04/1992,N  
GAD984294538,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,12/04/1992,N  
GAD984294546,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,12/04/1992,N  
GAD984295543,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,08/20/1992,Y  
GAD984295600,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,01/26/2006,Y  
GAD984295642,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,05/23/1991,Y  
GAD984295642,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,11/17/1993,N  
GAD984295659,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,04/05/1996,N  
GAD984295659,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,07/02/1996,N  
GAD984295659,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,09/08/1998,N  
GAD984295659,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,11/04/2003,N  
GAD981275449,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,05/02/2001,Y  
GAD981275449,GA,001,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,09/05/2001,N  
GAD981275449,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,01/28/2002,N  
GAD981275449,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,03/21/2003,N  
GAD981275449,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,03/11/2004,N  
GAD981275449,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,12/09/2004,N  
GAD981275449,GA,002,SNY,SIGNIFICANT NON-COMPLIER,S  ,06/11/1999,N  
GAD981275449,GA,002,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,01/28/2002,N  
GAD981275449,GA,002,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,03/21/2003,N  
GAD981275449,GA,002,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,12/09/2004,N  
GAD981275449,GA,003,SNY,SIGNIFICANT NON-COMPLIER,S  ,05/02/2001,N  
GAR000029017,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,01/15/2002,N  
GAR000029066,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,08/09/2001,Y  
GAR000029066,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,06/05/2002,N  
GAR000029066,GA,002,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,08/09/2001,Y  
GAR000029082,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,08/08/2001,Y  
GAR000029082,GA,002,SNY,SIGNIFICANT NON-COMPLIER,S  ,08/08/2001,N  
GAR000019364,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,05/30/2000,Y  
GAR000019455,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,04/26/2000,N  
GAR000019554,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,10/15/1999,N  
GAR000019588,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,06/23/2000,N  
GAR000029181,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,08/09/2001,N  
GAR000029207,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,08/07/2001,N  
GAR000029215,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,08/07/2001,N  
GAR000029264,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,08/07/2001,Y  
GAR000019844,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,06/10/2003,N  
GAR000019844,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,03/09/2004,Y  
GAR000019893,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,07/24/2002,N  
GAR000019893,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,12/03/2002,Y  
GAR000019893,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,07/23/2004,Y  
GAR000019893,GA,001,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,01/26/2005,N  
GAR000019893,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,08/10/2005,U  
GAR000019893,GA,002,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,10/12/2001,Y  
GAR000019893,GA,002,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,05/27/2004,N  
GAR000019893,GA,002,SNY,SIGNIFICANT NON-COMPLIER,S  ,07/23/2004,N  
GAR000017707,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,08/19/2003,N  
GAR000017731,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,01/12/2006,N  
GAR000017749,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,11/09/1999,N  
GAR000017749,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,09/17/2001,U  
GAR000017756,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,05/26/2004,N  
GAR000017772,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,06/22/2000,N  
GAR000017772,GA,002,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,06/22/2000,N  
GAR000009720,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,08/19/2003,Y  
GAR000009753,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,10/24/1997,N  
GAR000008706,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,03/18/1998,N  
GAR000008706,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,06/17/1998,N  
GAR000017970,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,11/01/2000,Y  
GAR000017970,GA,001,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,06/15/2001,N  
GAR000017970,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,02/25/2004,U  
GAR000017970,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,08/25/2005,Y  
GAR000017970,GA,002,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,08/25/2005,Y  
GAR000017970,GA,003,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,08/25/2005,Y  
GAD981265184,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,03/22/2006,Y  
GAD981265192,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,11/12/2002,Y  
GAD981265192,GA,001,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,03/10/2003,N  
GAD981265192,GA,002,SNY,SIGNIFICANT NON-COMPLIER,S  ,11/12/2002,N  
GAD981265267,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,04/10/1990,Y  
GAD981265267,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,03/08/1991,Y  
GAD981265267,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,06/28/1992,N  
GAD981265267,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,08/30/1992,N  
GAD981265267,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,03/31/1994,N  
GAD981265267,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,05/21/1996,N  
GAD981265267,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,06/20/1996,Y  
GAD981265267,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,05/13/1998,N  
GAD981265267,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,05/18/1998,Y  
GAD981265267,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,05/04/1999,Y  
GAD981233935,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,10/06/2004,N  
GAD981233935,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,01/31/2005,U  
GAD981233935,GA,002,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,01/30/1990,N  
GAD981233356,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,08/26/1993,N  
GAD981233356,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,01/10/1996,Y  
GAD981233356,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,04/11/1996,N  
GAD981233356,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,12/05/1996,N  
GAD981233356,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,01/22/1998,Y  
GAD981233356,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,05/06/1998,N  
GAD981233356,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,03/26/1999,Y  
GAD981233356,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,02/25/2000,N  
GAD981233356,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,02/04/2002,N  
GAD981233356,GA,002,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,03/17/1989,Y  
GAD981233356,GA,002,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,02/25/2000,N  
GAD981233356,GA,002,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,03/06/2001,N  
GAD981233356,GA,003,NRR,NON-FINANCIAL RECORD REVIEW,S  ,06/06/1989,N  
GAD981233356,GA,004,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,03/08/1990,N  
GAD981233356,GA,005,NRR,NON-FINANCIAL RECORD REVIEW,S  ,08/22/1990,N  
GAD981234230,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,04/15/1988,N  
GAD981234230,GA,001,FUI,FOLLOW-UP INSPECTION,S  ,02/02/2006,Y  
GAD981234248,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,04/15/1988,N  
GAD981234248,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,08/30/1992,N  
GAD981234248,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,08/30/1994,Y  
GAD981234248,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,12/03/1996,N  
GAD981234248,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,03/12/1999,Y  
GAD981234248,GA,001,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,03/20/2000,N  
GAD981234248,GA,002,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,02/02/1989,Y  
GAD981234248,GA,002,SNY,SIGNIFICANT NON-COMPLIER,S  ,03/12/1999,N  
GAD981234248,GA,004,NRR,NON-FINANCIAL RECORD REVIEW,S  ,08/21/1990,N  
GAD981233356,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,04/08/1988,N  
GAD981233356,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,06/28/1992,N  
GAD981224942,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,08/10/2001,N  
GAD981224942,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,08/13/2001,N  
GAD981027055,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,09/10/1998,N  
GAD981027055,GA,001,FRR,FINANCIAL RECORD REVIEW,S  ,10/26/1998,Y  
GAD981027055,GA,001,OAM,OPERATION AND MAINTENANCE INSPECTION,S  ,11/20/1998,N  
GAD981027055,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,03/23/1999,N  
GAD981027055,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,05/19/1999,N  
GAD981027055,GA,001,OAM,OPERATION AND MAINTENANCE INSPECTION,S  ,11/17/1999,N  
GAD981027055,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,09/01/2000,N  
GAD981027055,GA,001,OAM,OPERATION AND MAINTENANCE INSPECTION,S  ,04/12/2001,N  
GAD981027055,GA,001,OAM,OPERATION AND MAINTENANCE INSPECTION,S  ,11/14/2001,N  
GAD981275506,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,04/19/2004,Y  
GAD981275506,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,X  ,04/19/2004,N  
GAD981275514,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,07/19/2001,Y  
GAD981275530,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,01/26/1995,N  
GAD981266273,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,12/16/1998,N  
GAD981266315,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,07/19/2001,N  
GAD981266356,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,08/08/1991,Y  
GAD981275779,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,02/18/1991,N  
GAD981275795,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,03/29/2006,N  
GAD981275837,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,02/15/2006,N  
GAD981275860,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,10/02/1998,N  
GAD981275910,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,01/30/1991,Y  
GAD981275928,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,03/15/1993,Y  
GAD981275936,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,10/16/1998,N  
GAD981275985,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,11/15/1991,N  
GAD981273741,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,09/27/2001,N  
GAD981273758,GA,002,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,07/24/2001,N  
GAD981266380,GA,002,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,12/05/2002,N  
GAD981266380,GA,002,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,06/09/2005,N  
GAD981266380,GA,003,SNY,SIGNIFICANT NON-COMPLIER,S  ,06/09/2005,N  
GAD981266042,GA,001,CAV,COMPLIANCE ASSISTANCE VISIT,S  ,02/28/2000,N  
GAD981266042,GA,001,FUI,FOLLOW-UP INSPECTION,S  ,07/14/2000,N  
GAD981266067,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,10/24/1990,Y  
GAD981266091,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,05/01/1990,N  
GAD981266166,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,10/26/1989,N  
GAD981266182,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,05/31/1991,Y  
GAD981266208,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,07/01/1994,Y  
GAD981266208,GA,001,GME,GROUNDWATER MONITORING EVALUATION,S  ,06/25/1996,Y  
GAD981266208,GA,001,OAM,OPERATION AND MAINTENANCE INSPECTION,S  ,06/19/1997,Y  
GAD981245921,GA,001,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,06/26/2000,N  
GAD981245921,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,03/20/2001,Y  
GAD981244429,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,06/19/1996,N  
GAD981244429,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,08/30/1996,N  
GAD981244429,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,02/19/1997,N  
GAD981266208,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,04/27/1999,Y  
GAD981266208,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,05/02/2000,Y  
GAD981266208,GA,001,OAM,OPERATION AND MAINTENANCE INSPECTION,S  ,05/10/2000,N  
GAD981266208,GA,001,CAC,CORRECTIVE ACTION COMPLIANCE EVALUATION,S  ,04/09/2002,N  
GAD981266208,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,07/30/2002,N  
GAD981266208,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,10/22/2002,Y  
GAD981266208,GA,001,CAC,CORRECTIVE ACTION COMPLIANCE EVALUATION,S  ,10/07/2003,N  
GAD981266208,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,10/22/2003,N  
GAD981266208,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,09/20/2004,N  
GAD066465824,GA,037,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,03/09/1989,Y  
GAD066465824,GA,038,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,07/12/1989,N  
GAD066465824,GA,039,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,09/25/1989,Y  
GAD066465824,GA,040,CEI,COMPLIANCE EVALUATION INSPECTION,X  ,09/25/1989,N  
GAD066465824,GA,042,NRR,NON-FINANCIAL RECORD REVIEW,S  ,09/09/1989,N  
GAD066465824,GA,043,FRR,FINANCIAL RECORD REVIEW,S  ,02/06/1990,N  
GAD066465824,GA,045,NRR,NON-FINANCIAL RECORD REVIEW,S  ,05/18/1990,Y  
GAD066465824,GA,046,NRR,NON-FINANCIAL RECORD REVIEW,S  ,08/14/1990,N  
GAD066465824,GA,048,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,10/12/1990,N  
GAD066465824,GA,049,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,02/21/1991,N  
GAD066468521,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,06/28/1992,N  
GAD066468521,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,08/30/1992,N  
GAD066468521,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,11/30/1994,N  
GAD061022216,GA,012,NRR,NON-FINANCIAL RECORD REVIEW,S  ,07/01/1985,N  
GAD061022216,GA,013,GME,GROUNDWATER MONITORING EVALUATION,S  ,07/09/1985,N  
GAD061022216,GA,015,NRR,NON-FINANCIAL RECORD REVIEW,S  ,05/19/1986,N  
GAD061022216,GA,016,FRR,FINANCIAL RECORD REVIEW,S  ,04/08/1986,Y  
GAD061022216,GA,018,NRR,NON-FINANCIAL RECORD REVIEW,S  ,07/07/1986,N  
GAD061022216,GA,019,FRR,FINANCIAL RECORD REVIEW,S  ,09/03/1986,Y  
GAD066477142,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,06/28/1992,N  
GAD066477142,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,08/30/1992,N  
GAD066477142,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,01/31/1995,N  
GAD066477142,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,04/16/1996,N  
GAD066477142,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,03/18/1998,N  
GAD066465824,GA,001,FRR,FINANCIAL RECORD REVIEW,S  ,01/21/1998,N  
GAD066465824,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,02/10/1998,Y  
GAD066465824,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,06/05/1998,N  
GAD066465824,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,09/30/1998,N  
GAD066465824,GA,001,FRR,FINANCIAL RECORD REVIEW,S  ,01/22/1999,N  
GAD066465824,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,07/02/1999,N  
GAD061022216,GA,JLB,CEI,COMPLIANCE EVALUATION INSPECTION,X  ,03/07/1997,N  
GAD061122313,GA,002,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,04/30/1990,N  
GAD061167607,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,08/06/1993,N  
GAD061401501,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,06/28/1992,N  
GAD061401501,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,06/13/1994,Y  
GAD061401501,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,03/17/1998,N  
GAD061401501,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,10/13/1999,Y  
GAD061401501,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,12/20/2001,U  
GAD061401501,GA,002,NRR,NON-FINANCIAL RECORD REVIEW,S  ,12/10/1984,Y  
GAD061022216,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,06/16/1997,N  
GAD061022216,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,09/10/1997,Y  
GAD061022216,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,02/04/1998,N  
GAD061022216,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,02/05/1998,Y  
GAD051034387,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,03/19/1993,N  
GAD984317875,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,06/02/1995,N  
GAD984300467,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,12/15/1994,N  
GAD984300483,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,02/21/2006,N  
GAD984300509,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,03/26/1992,N  
GAD984300509,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,06/28/1992,N  
GAD984300509,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,05/09/1995,Y  
GAD984300509,GA,001,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,11/01/1995,N  
GAD984300517,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,06/28/1992,N  
GAD984300517,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,08/30/1992,N  
GAD984300558,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,11/28/1995,N  
GAD984300616,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,05/22/2000,N  
GAD040690737,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,03/18/2004,N  
GAD040690737,GA,001,FRR,FINANCIAL RECORD REVIEW,S  ,04/05/2004,Y  
GAD040690737,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,08/19/2004,N  
GAD040690737,GA,001,CAC,CORRECTIVE ACTION COMPLIANCE EVALUATION,S  ,09/21/2004,N  
GAD040690737,GA,001,FRR,FINANCIAL RECORD REVIEW,S  ,04/18/2005,N  
GAD040690737,GA,001,CAC,CORRECTIVE ACTION COMPLIANCE EVALUATION,S  ,06/14/2005,N  
GAD040690737,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,07/01/2005,N  
GAD040690737,GA,001,FRR,FINANCIAL RECORD REVIEW,C  ,02/17/2006,N  
GAD040690737,GA,002,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,08/09/1983,Y  
GAD040690737,GA,002,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,09/14/1994,N  
GAD040690737,GA,002,OAM,OPERATION AND MAINTENANCE INSPECTION,S  ,03/19/1997,N  
GAD030059182,GA,002,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,02/12/2003,N  
GAD030059182,GA,002,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,06/24/2004,N  
GAD030059182,GA,002,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,12/09/2004,N  
GAD030059182,GA,004,NRR,NON-FINANCIAL RECORD REVIEW,S  ,08/20/1986,N  
GAD030059182,GA,005,NRR,NON-FINANCIAL RECORD REVIEW,S  ,03/21/1988,N  
GAD031267719,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,04/28/1988,N  
GAD033478439,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,03/17/1994,N  
GAD033494659,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,04/16/1998,N  
GAD984299529,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,03/18/1999,N  
GAD984299586,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,12/19/1996,N  
GAD984299586,GA,001,FUI,FOLLOW-UP INSPECTION,S  ,01/29/1997,N  
GAD981282791,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,04/16/1999,N  
GAD981282809,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,12/18/2002,N  
GAD981282825,GA,001,CAV,COMPLIANCE ASSISTANCE VISIT,S  ,05/13/1998,Y  
GAD981282866,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,01/04/2006,N  
GAD981282916,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,10/25/1994,N  
GAD981282916,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,10/22/2002,Y  
GAD981282940,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,02/05/2002,N  
GAD033582461,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,03/31/1993,Y  
GAD033582461,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,05/11/1993,N  
GAD030037345,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,08/27/2003,U  
GAD984298182,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,04/18/2001,N  
GAD984298307,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,02/21/1992,N  
