TRI Facility Name,TRI Facility ID,Year,Census Tract,Latitude,Longitude,Releases (lb),Waste Managed (lb),RSEI Hazard,# of TRI Facilities
INTERFOR US INC SWAINSBORO DIV,3040WNTRFR8796H,2021,13107970602,32.510633,-82.332741,"25,694.57","25,904.83","139,878",1
MEDSOURCE TRENTON LLC (DBA LAKE REGION MEDICAL),3075WCCLLN1324N,2021,13083040103,34.88056,-85.50447,"25,587.00","73,472.00","1,350",1
LFM WAYCROSS,31502WYCRS2450I,2022,13299950200,31.24153,-82.41982,"25,548.00","33,162.00","89,418",1
INTERFOR US INC,3106WNTRFR93JER,2022,13153021205,32.456447,-83.733754,"25,399.89","25,399.89","4,070,180",1
KEYSTONE FOODS LLC - CAMILLA PROCESSING,31730CGLFD2611U,2022,13205090300,31.28121,-84.18789,"25,160.00","1,954,008.00","357,668",1
CLAXTON POULTRY FARMS,30417CLXTNPOBOX,2021,13109970300,32.18209,-81.89071,"24,908.00","24,908.00","94,114,000",1
ENVIVA PELLETS WAYCROSS LLC,3150WGRGBM339IN,2021,13299950200,31.2568,-82.41763,"24,548.46","275,966.46","711,376,296",1
PPG ARCHITECTURAL FINISHES EAST POINT,30344PPGND1377O,2021,13121011100,33.6891,-84.4326,"24,477.11","1,091,363.01","1,710,901",1
KEYSTONE FOODS LLC - CAMILLA PROCESSING,31730CGLFD2611U,2021,13205090300,31.28121,-84.18789,"24,130.00","1,934,868.00","365,389",1
ALADDIN MILLS - ANTIOCH RD PLANT,30720LDDNM2001A,2022,13313001200,34.73399,-84.94646,"24,039.00","24,039.00","1,088,877",1
TYSON FARMS INC. RIVER VALLEY INGREDIENTS - CUTHBERT,31740GRGFDRTE1B,2022,13243790200,31.770486,-84.781229,"23,238.00","2,247,766.00","162,666",1
U.S.  DOD  USAF MOODY AFB SMALL ARMS & GRAND BAY RANGES,31699SRFRC3485G,2022,-,30.970071,-83.210585,"23,150.90","28,078.10","206,519,200",1
WINLAND FOODS INC.,3034WBYVLL1NATU,2022,-,33.613838,-84.514583,"23,007.40","23,007.40","161,052",1
LFM WAYCROSS,31502WYCRS2450I,2023,13299950200,31.24153,-82.41982,"22,540.00","30,892.00","78,890",1
CHEROKEE BRICK & TILE CO,31206CHRKB3250W,2022,13021013900,32.8025,-83.6358,"22,475.62","216,658.55","700,378,015",1
ANHEUSER-BUSCH LLC CARTERSVI LLE BREWERY,30120NHSRB100BU,2023,13015960407,34.2557,-84.7825,"22,434.00","25,826.00","141,484",1
ITW PRO BRANDS,30084HLTLL4647H,2022,13089021823,33.847778,-84.198611,"22,379.81","22,379.81","63,042,050",1
HARCROS CHEMICALS INC,30720FRMND134PH,2021,13313001500,34.696746,-84.984612,"22,330.00","23,807.00","5,132,053",1
AMERICHEM INC DGA,30721MRCHM115AB,2023,13313001200,34.75777,-84.96238,"22,108.91","22,108.91","102,314,915,687",1
GULFSTREAM AEROSPACE CORP,31402GLFSTPOBOX,2021,13051010701,32.1342,-81.2046,"21,854.00","29,104.00","21,503",1
PPG ARCHITECTURAL FINISHES EAST POINT,30344PPGND1377O,2022,13121011100,33.6891,-84.4326,"21,797.00","785,610.00","1,843,884",1
PRINTPACK INC.,3018WPRNTP285AN,2022,13045910106,33.73916,-84.95999,"21,700.00","28,565.00","412,300",1
UNIVAR SOLUTIONS USA INC - NORCROSS,30071VNWTR2145S,2021,13135050306,33.914804,-84.229382,"21,680.30","22,367.24","770,385",1
GOLD CREEK FOODS LLC GC5,30501DPSTH2255W,2022,13139000602,34.3275,-83.791389,"21,619.00","43,238.00","97,285,500",1
FINELINE INDUSTRIES,3160WFNLNN61GIL,2021,-,30.8023,-83.2789,"21,340.90","22,024.90","80,471",1
PREMIUM FIBERGLASS POOLS LLC,31714NTNWD96NEG,2021,13287970201,31.726546,-83.656932,"21,280.00","21,280.00","74,480",1
HP PELZER (AUTOMOTIVE SYSTEMS) INC.,30824NTDTC1884W,2023,13189950401,33.44801,-82.53785,"21,163.00","21,163.00","7,407,050,000",1
PREMIUM FIBERGLASS POOLS LLC,31714NTNWD96NEG,2022,13287970201,31.726546,-83.656932,"21,151.00","21,151.00","74,029",1
FRITO-LAY INC.  - PERRY PLANT,31047FRTLY1200H,2021,13153021501,32.452279,-83.599356,"21,000.00","42,039.00","13,230",1
CHEROKEE BRICK & TILE CO,31206CHRKB3250W,2021,13021013900,32.8025,-83.6358,"20,838.99","194,533.50","693,717,632",1
ELRINGKLINGER USA INC.,3051WLRNGK4961B,2023,13139001607,34.14604,-83.94767,"20,726.00","292,785.00","1,841,317,700",1
ALEX C FERGUSSON LLC,30062MRPNC990IN,2022,13067030508,33.975724,-84.539783,"20,713.00","31,903.00","93,208,500",1
HYDRO EXTRUSION USA LLC,30501NDLXT2905O,2021,13139001102,34.2523,-83.8558,"20,596.34","688,288.66","3,411,179,724",1
PRC-DESOTO INTERNATIONAL INC.,30144PRCDS333WT,2022,13067030278,34.02572,-84.57901,"20,570.00","54,170.00","263,185,200,329",1
POWER PARTNERS LLC,30613WSTNGNEWTO,2022,13059130300,33.98167,-83.39612,"20,500.63","45,047.63","2,735,358,238",1
LIOCHEM INC,30208LCHMN2145E,2023,13247060305,33.66323,-83.9769,"20,440.00","113,225.00","2,961",1
GLOBAL TEXTILE SERVICES,30722GLBLT120KE,2021,13313001200,34.73964,-84.96649,"20,342.40","33,675.00","934,376",1
GULFSTREAM AEROSPACE CORP,31402GLFSTPOBOX,2022,13051010701,32.1342,-81.2046,"20,151.00","27,001.00","19,251",1
ELRINGKLINGER USA INC.,3051WLRNGK4961B,2022,13139001607,34.14604,-83.94767,"20,086.80","283,775.80","1,777,904,300",1
SHERWIN-WILLIAMS CO,30014HBFLL13129,2023,13217100301,33.61964,-83.83227,"20,081.00","20,142.00","12,866,000",1
ELRINGKLINGER USA INC.,3051WLRNGK4961B,2021,13139001607,34.14604,-83.94767,"19,966.50","424,526.50","2,749,847,420",1
FIELDALE FARMS CORP MURRAYVILLE COMPLEX,30564FLDLFGAHWY,2023,13139000305,34.408959,-83.902336,"19,869.00","281,922.00","233,297",1
PILGRIM'S PRIDE ATHENS PROCESSING PLANT,30601SBRDF898BA,2022,13059130300,33.97229,-83.38765,"19,714.00","492,853.00","88,713,000",1
SOLVAY SPECIALTY POLYMERS USA LLC-ALPHARETTA,3000WSLVYS45MCG,2022,13117130603,34.10025,-84.21795,"19,627.86","190,727.86",158,1
SHERWIN-WILLIAMS CO,30260SHRWN6795S,2021,13063040417,33.5699,-84.34467,"19,057.60","477,100.60","2,168,661",1
POWER PARTNERS LLC,30613WSTNGNEWTO,2021,13059130300,33.98167,-83.39612,"18,922.60","81,165.60","2,852,314,801",1
GULFSTREAM AEROSPACE CORP,31402GLFSTPOBOX,2023,13051010701,32.1342,-81.2046,"18,895.00","27,430.00","18,057",1
AMERICHEM INC DGA,30721MRCHM115AB,2022,13313001200,34.75777,-84.96238,"18,419.35","18,419.35","82,390,437,761",1
CHEMICAL PRODUCTS CORP,30120CHMCLTENNE,2023,-,34.15091,-84.78595,"18,196.96","7,265,414.11","39,566,815",1
SHERWIN-WILLIAMS CO,30260SHRWN6795S,2022,13063040417,33.5699,-84.34467,"18,128.90","45,288.90","2,102,546",1
UNIVAR SOLUTIONS USA INC - NORCROSS,30071VNWTR2145S,2022,13135050306,33.914804,-84.229382,"17,751.19","25,542.95","1,116,321",1
NHS U.S. LLC,31408HRSHY11ART,2022,13051010811,32.11083,-81.22167,"17,483.00","318,893.00","78,357",1
KING AMERICA FINISHING INC,30424KNGFNGEORG,2023,13251970600,32.604571,-81.740261,"17,369.00","17,369.00","10,942",1
TCI INC.,31806THRML610AI,2022,13249960100,32.229393,-84.295564,"16,956.00","16,956.00","130,838,823,000",1
U.S. ARMY HQ SIGNAL CENTER FORT GORDON,30905HQSRMENVNA,2021,13245010802,33.395111,-82.160222,"16,828.50","16,828.50","114,730,500",1
GLOBAL TEXTILE SERVICES,30722GLBLT120KE,2022,13313001200,34.73964,-84.96649,"16,682.20","30,037.00","565,920",1
PILGRIM'S PRIDE ATHENS PROCESSING PLANT,30601SBRDF898BA,2021,13059130300,33.97229,-83.38765,"16,682.00","417,064.00","75,069,000",1
U.S. MARINE CORPS LOGISTICS BASE ALBANY,31704SDDMR814RA,2021,13095011600,31.550698,-84.063799,"16,658.10","17,362.40","17,561,206",1
BURGESS PIGMENT CO,31082BRGSS525BE,2022,13303950300,32.97255,-82.82238,"16,463.00","16,463.00","115,241",1
NHS U.S. LLC,31408HRSHY11ART,2023,13051010811,32.11083,-81.22167,"16,397.00","318,517.00","77,673",1
OLDCASTLE INFRASTRUCTURE - ACWORTH,3010WLDCST3NEWB,2023,-,34.05705,-84.63786,"16,346.50","16,346.50","983,354",1
DYNAMIC PAINT SOLUTION,3102WDYNMC415AI,2023,13091960400,32.217266,-83.123348,"16,232.20","32,330.20","1,882,650,436",1
GS II,30269GSRFN200SI,2023,13113140308,33.35263,-84.56156,"16,163.16","16,163.16","34,475,343,879",1
JANSSEN PHARMACEUTICALS INC.,30603NRMCN1440O,2022,13059140500,33.9803,-83.32911,"16,035.00","1,752,138.00","241,536",1
JANSSEN PHARMACEUTICALS INC.,30603NRMCN1440O,2021,13059140500,33.9803,-83.32911,"16,034.00","1,799,434.00","249,300",1
BONNELL ALUMINUM INC.,30263WLLML25BON,2023,13077170701,33.379838,-84.821686,"15,826.08","84,706.04","916,326",1
STEPAN CO,30680STPNCOLDHI,2023,13013180107,33.999886,-83.785401,"15,539.85","614,442.40","1,412,564,176",1
BURGESS PIGMENT CO,31082BRGSS525BE,2021,13303950300,32.97255,-82.82238,"15,424.00","15,424.00","107,968",1
RENTZ CABINET CORP,31075RNTZC2041C,2021,13175951100,32.383765,-82.991065,"15,365.00","15,365.00","10,756",1
HARVARD CHEMICAL LLC,3035WHRVRD3595Z,2023,13121007200,33.656725,-84.386109,"15,265.00","16,527.00","2,747,700",1
BURGESS PIGMENT CO,31082BRGSS525BE,2023,13303950300,32.97255,-82.82238,"15,124.50","15,124.50","105,872",1
HAZLEHURST WOOD PELLETS,3153WHZLHR43HUL,2021,13161960102,31.853511,-82.574842,"14,608.00","14,608.00","191,367,099",1
OLDCASTLE INFRASTRUCTURE - ACWORTH,3010WLDCST3NEWB,2021,-,34.05705,-84.63786,"14,468.61","14,468.61","748,101",1
RENTZ CABINET CORP,31075RNTZC2041C,2022,13175951100,32.383765,-82.991065,"14,468.00","14,468.00","10,128",1
TCI INC.,31806THRML610AI,2023,13249960100,32.229393,-84.295564,"14,423.25","14,423.25","110,101,948,375",1
POWER PARTNERS LLC,30613WSTNGNEWTO,2023,13059130300,33.98167,-83.39612,"14,302.59","111,622.59","3,075,681,411",1
JANSSEN PHARMACEUTICALS INC.,30603NRMCN1440O,2023,13059140500,33.9803,-83.32911,"14,261.00","1,984,284.00","222,503",1
BLUESCOPE COATED PRODUCTS LLC,30062MTLCT1150M,2021,13067030508,33.97849,-84.53861,"13,970.00","487,832.10","10,983,621",1
SHAW IND INC PLANT RP,30736SLMCRI75AT,2023,13047030100,34.866823,-85.116569,"13,854.00","122,099.00","1,385,400",1
FREUDENBERG-NOK GENERAL PTNR,30528FRDNBONENO,2023,13311950204,34.61663,-83.76175,"13,844.94","14,722.94","2,492",1
FREUDENBERG-NOK GENERAL PTNR,30528FRDNBONENO,2022,13311950204,34.61663,-83.76175,"13,740.08","15,468.57","2,473",1
ELITE COMFORT SOLUTIONS - N CHRISTOPHER CT,3026WLTFMX15NCH,2023,13077170308,33.40711,-84.74775,"13,503.10","13,503.10","4,726,084,300",1
U.S. ARMY HQ SIGNAL CENTER FORT GORDON,30905HQSRMENVNA,2022,13245010802,33.395111,-82.160222,"13,397.00","13,397.00","88,141,500",1
HENKEL CORP,30240NSGNB1600E,2022,13285960904,33.00834,-85.05955,"13,365.36","92,698.00","167,662,836",1
LX HAUSYS AMERICA INC,30103LGCHM31LGD,2021,13129970700,34.4251,-84.9227,"13,360.00","14,860.00","56,360",1
CARRY-ON TRAILER CORP,30553CRRYN101JO,2023,13119890101,34.427876,-83.106598,"13,313.00","28,077.00","448,362,680",1
ITW PRO BRANDS,30084HLTLL4647H,2021,13089021823,33.847778,-84.198611,"13,267.05","19,609.21","199,005,750",1
RAINBOW FERTILIZER LLC,31709MCFRT1611O,2021,13261950500,32.05546,-84.23557,"13,086.99","102,508.22","9,192,114",1
FREUDENBERG-NOK GENERAL PTNR,30528FRDNBONENO,2021,13311950204,34.61663,-83.76175,"13,067.54","17,733.89","2,352",1
PIOLAX MANUFACTURING PLANT,3011WPLXMN14ETW,2023,13057090604,34.24674,-84.472,"13,000.00","13,000.00","130,000",1
ABB MOTORS & MECHANICAL INC.,30601RLNCLCOLLI,2023,13059140400,33.97957,-83.35193,"12,909.28","307,873.68","131,631,375",1
APPLING COUNTY PELLETS,3151WPPLNG248SW,2022,13001950301,31.7719,-82.3482,"12,884.00","12,884.00","219,591,450",1
OFS FITEL LLC,30071TTNTW2000N,2021,13135050311,33.91194,-84.21472,"12,839.00","1,384,183.00","33,062,160",1
PIOLAX MANUFACTURING PLANT,3011WPLXMN14ETW,2021,13057090604,34.24674,-84.472,"12,800.00","12,800.00","128,000",1
PIOLAX MANUFACTURING PLANT,3011WPLXMN14ETW,2022,13057090604,34.24674,-84.472,"12,800.00","12,800.00","128,000",1
STERLING SPECIALTY CHEMICALS USA LLC,31907CLLWY6603C,2021,13215010502,32.50847,-84.87594,"12,631.51","4,954,456.76","63,947,149",1
ORAFOL AMERICAS INC,3130WRCLSN11RAC,2022,13029920101,32.173742,-81.444526,"12,613.37","504,845.83","10,302",1
SPECTRA METAL SALES INC CC700,30336SPCTR6104B,2022,13121010313,33.72716,-84.59368,"12,601.00","1,284,986.00","24,525,093",1
TROJAN BATTERY CO. - LITHONIA,30058TRJNB5194M,2023,13089023442,33.7011,-84.17834,"12,531.60","2,312,313.00","399,304,800",1
POLYVENTIVE - DALTON,30721MRCNM1202D,2022,13313001000,34.76966,-84.94902,"12,358.00","12,358.00","11,707,530",1
IVC US INC,3072WVCSNC11IVC,2021,13313001200,34.71709,-84.94529,"12,337.50","22,337.50","4,799,358",1
ORAFOL AMERICAS INC,3130WRCLSN11RAC,2021,13029920101,32.173742,-81.444526,"12,179.98","487,918.21","10,134",1
LIOCHEM INC,30208LCHMN2145E,2022,13247060305,33.66323,-83.9769,"12,109.00","108,049.00","3,552",1
HARCROS CHEMICALS INC,30720FRMND134PH,2023,13313001500,34.696746,-84.984612,"12,045.65","13,045.65","33,203",1
SPECTRA METAL SALES INC CC700,30336SPCTR6104B,2023,13121010313,33.72716,-84.59368,"12,018.00","1,235,180.00","24,227,385",1
NHS U.S. LLC,31408HRSHY11ART,2021,13051010811,32.11083,-81.22167,"11,976.40","250,555.00","74,888",1
LX HAUSYS AMERICA INC,30103LGCHM31LGD,2022,13129970700,34.4251,-84.9227,"11,782.00","16,182.00","46,217",1
LX HAUSYS AMERICA INC,30103LGCHM31LGD,2023,13129970700,34.4251,-84.9227,"11,782.00","16,032.00","46,217",1
OWENS CORNING ROOFING & ASPHALT LLC,31498MNVLL1FOUN,2021,13051980000,32.10038,-81.14034,"11,730.98","11,730.98","128,505,360",1
HYDRO EXTRUSION USA LLC,30501NDLXT2905O,2023,13139001102,34.2523,-83.8558,"11,652.49","397,459.29","2,538,773,540",1
ORAFOL AMERICAS INC,3130WRCLSN11RAC,2023,13029920101,32.173742,-81.444526,"11,504.25","453,732.97","9,365",1
ITW PRO BRANDS,30084HLTLL4647H,2023,13089021823,33.847778,-84.198611,"11,358.70","11,358.70","170,380,500",1
STERLING SPECIALTY CHEMICALS USA LLC,31907CLLWY6603C,2023,13215010502,32.50847,-84.87594,"11,253.31","3,764,449.08","58,811,683",1
JTEKT BEARINGS N.A. LLC - DAHLONEGA GA.,30533THTRR300TO,2022,13187960204,34.532555,-84.002076,"11,203.94","36,036.94","120,421,742,500",1
RENTZ CABINET CORP,31075RNTZC2041C,2023,13175951100,32.383765,-82.991065,"11,192.00","11,192.00","7,834",1
TAKEDA PHARMACEUTICALS,3002WBXTRH55BAX,2022,13297110802,33.606106,-83.692887,"11,158.00","1,228,918.00","6,889",1
JCL INVESTMENT HOLDINGS LLC,30114RSLPC189ET,2021,13057090604,34.24826,-84.47008,"11,039.00","11,039.00","38,637",1
ABB MOTORS & MECHANICAL INC.,30601RLNCLCOLLI,2022,13059140400,33.97957,-83.35193,"11,017.41","290,108.13","109,646,182",1
SOUTHERN STATES CHEMICAL SEAPOINT,31404KMRNCEASTP,2021,13051011800,32.08305,-81.02805,"11,000.00","246,000.00","38,500,000",1
SOUTHERN STATES CHEMICAL SEAPOINT,31404KMRNCEASTP,2022,13051011800,32.08305,-81.02805,"11,000.00","241,000.00","38,500,000",1
SOUTHERN STATES CHEMICAL SEAPOINT,31404KMRNCEASTP,2023,13051011800,32.08305,-81.02805,"11,000.00","241,000.00","38,500,000",1
PANASONIC ENERGY CORP OF AMERICA LITHIUM DIV,31907MTSSH0NEPA,2023,13215010605,32.49762,-84.88004,"10,896.60","106,894.60","130,759,200",1
JTEKT BEARINGS N.A. LLC - DAHLONEGA GA.,30533THTRR300TO,2021,13187960204,34.532555,-84.002076,"10,779.03","214,295.03","115,831,753,750",1
HON CO,30125THHNC907WE,2023,13233010300,34.01381,-85.279346,"10,540.35","21,160.11","611,340",1
AGCO INC,30071GCNCX2782S,2021,13135050325,33.961834,-84.175742,"10,538.00","10,538.00","36,883",1
TROJAN BATTERY CO. - LITHONIA,30058TRJNB5194M,2022,13089023442,33.7011,-84.17834,"10,531.60","2,494,452.00","322,737,800",1
FPL FOOD LLC,30901SHPRP1301N,2023,13245010602,33.44746,-81.97735,"10,451.00","21,943.00","72,331",1
PUBLIX SUPER MARKETS INC DACULA FACILITY,30245PBLXS445HU,2022,13135050627,33.989706,-83.939331,"10,445.70","104,457.00","6,581",1
OFS FITEL LLC,30071TTNTW2000N,2022,13135050311,33.91194,-84.21472,"10,345.00","1,140,126.00","20,000,010",1
TEXTILE RUBBER AND CHEMICAL COMPANY (PTG GROUP),30720TXTLR1300T,2021,13313001500,34.686603,-84.991472,"10,286.66","11,457.86","4,598,001",1
MORITO SCOVILL AMERICAS LLC DBA SCOVILL FASTENERS,30523SCVLLRT441,2021,13137000300,34.598333,-83.52435,"10,158.41","10,288.41","4,014,058,268",1
TROJAN BATTERY CO. - LITHONIA,30058TRJNB5194M,2021,13089023442,33.7011,-84.17834,"10,151.20","2,541,077.00","314,454,100",1
MORITO SCOVILL AMERICAS LLC DBA SCOVILL FASTENERS,30523SCVLLRT441,2022,13137000300,34.598333,-83.52435,"10,148.41","10,278.41","4,014,043,268",1
MORITO SCOVILL AMERICAS LLC DBA SCOVILL FASTENERS,30523SCVLLRT441,2023,13137000300,34.598333,-83.52435,"10,148.41","10,278.41","4,014,043,268",1
SHAW IND INC PLANT RP,30736SLMCRI75AT,2022,13047030100,34.866823,-85.116569,"10,058.00","78,626.00","1,005,800",1
ATLANTA MARBLE MANUFACTURING INC,30030TLNTM224RI,2021,13089022203,33.78131,-84.27098,"10,020.00","10,020.00","35,070",1
PILGRIM'S PRIDE DOUGLAS PROCESSING PLANT,31533GLDNPMCNEA,2022,13069010401,31.52608,-82.848551,"9,982.00","249,570.00","44,919,000",1
TYSON POULTRY INC-PROCESSING PLANT,30130TYSNF340WM,2021,13117130410,34.205276,-84.142502,"9,959.00","150,533.00","429,153",1
DARLING INGREDIENTS INC.,30027TLNTP4413T,2021,13063040410,33.633754,-84.312685,"9,931.80","145,087.60","6,257",1
AMERICHEM INC DGA,30721MRCHM115AB,2021,13313001200,34.75777,-84.96238,"9,923.74","9,923.74","41,420,438,128",1
MONDELEZ GLOBAL LLC,30310NBSCB1400M,2021,13121006601,33.71638,-84.42488,"9,913.00","9,913.00","69,391",1
SOUTHERN ALUMINUM FINISHING CO WINSTON PAINT,30180STHRN837EH,2021,13097080407,33.734485,-84.847165,"9,894.00","9,894.00","1,780,920",1
SPECTRA METAL SALES INC CC700,30336SPCTR6104B,2021,13121010313,33.72716,-84.59368,"9,843.00","1,019,065.00","19,504,670",1
U.S. ARMY HQ SIGNAL CENTER FORT GORDON,30905HQSRMENVNA,2023,13245010802,33.395111,-82.160222,"9,768.00","9,768.00","72,765,000",1
POLYVENTIVE - DALTON,30721MRCNM1202D,2023,13313001000,34.76966,-84.94902,"9,717.00","9,717.00","10,329,700",1
MEBROM LLC (TIFTON),3179WMBRML9WGLD,2021,-,31.42947,-83.528017,"9,680.60","9,680.60","7,566,980",1
RYERSON INC.,3007WRYRSN44PEA,2022,-,33.97527,-84.17859,"9,618.33","502,394.33","40,889,714,570",1
RYERSON INC.,3007WRYRSN44PEA,2021,-,33.97527,-84.17859,"9,616.36","772,593.36","40,889,892,340",1
QUAD/GRAPHICS INC.,30285QDGRP100DU,2021,13293010100,32.95271,-84.25256,"9,578.00","26,873.00","1,157,026",1
PILGRIM'S PRIDE DOUGLAS PROCESSING PLANT,31533GLDNPMCNEA,2021,13069010401,31.52608,-82.848551,"9,544.00","259,913.00","42,948,000",1
SEAGATE TERMINALS SAVANNAH LLC,31404STHRN1600E,2023,13051011800,32.0718,-81.06566,"9,540.00","482,810.00","33,390,000",1
SOUTHERN CHEMICAL & TEXTILES INC,30721STHRN653PE,2023,13313001200,34.714506,-84.957227,"9,398.00","9,398.00","28,867,160",1
BEKAERT CORP,30162BKRTCHWY41,2023,13115001800,34.21936,-85.173638,"9,346.23","22,011.71","147,909,535",1
PILGRIM'S PRIDE GAINESVILLE PROCESSING PLANT,30501CNGRP949IN,2023,13139001101,34.28352,-83.82795,"9,331.00","9,331.00","41,989,500",1
JTEKT BEARINGS N.A. LLC - DAHLONEGA GA.,30533THTRR300TO,2023,13187960204,34.532555,-84.002076,"9,182.63","33,887.63","98,685,328,750",1
ALADDIN MILLS - ANTIOCH RD PLANT,30720LDDNM2001A,2023,13313001200,34.73399,-84.94646,"9,135.00","9,135.00","219,871",1
SOUTHERN ALUMINUM FINISHING CO WINSTON PAINT,30180STHRN837EH,2023,13097080407,33.734485,-84.847165,"9,108.00","9,108.00","1,639,440",1
D L LEE & SONS,31510DLLSNRTE3H,2022,13005970100,31.536055,-82.441189,"9,019.00","9,019.00","63,133",1
DARLING INGREDIENTS INC.,30027TLNTP4413T,2023,13063040410,33.633754,-84.312685,"9,009.70","153,748.96","5,676",1
BIOLAB INC,30207BLBNC1735D,2021,13247060310,33.671111,-84.045278,"9,000.00","9,000.00","13,500,000",1
CHEROKEE BRICK & TILE CO,31206CHRKB3250W,2023,13021013900,32.8025,-83.6358,"8,959.36","229,544.28","229,603,773",1
QUAD/GRAPHICS INC.,30285QDGRP100DU,2022,13293010100,32.95271,-84.25256,"8,923.00","26,345.00","999,236",1
SEAGATE TERMINALS SAVANNAH LLC,31404STHRN1600E,2022,13051011800,32.0718,-81.06566,"8,914.00","349,229.00","31,199,000",1
CHEMOURS - JESUP MINE,3154WCHMRSPWERL,2023,13305970300,31.60571,-81.95193,"8,841.00","8,841.00","4,093,181",1
PUBLIX SUPER MARKETS INC DACULA FACILITY,30245PBLXS445HU,2023,13135050627,33.989706,-83.939331,"8,787.40","87,874.00","5,536",1
PURAFIL,30340PRFLX2654W,2022,13135050306,33.92437,-84.241358,"8,733.40","8,733.40","64,637,777",1
POLYVENTIVE - DALTON,30721MRCNM1202D,2021,13313001000,34.76966,-84.94902,"8,481.00","8,481.00","9,131,960",1
RAINBOW FERTILIZER LLC,31709MCFRT1611O,2023,13261950500,32.05546,-84.23557,"8,448.79","48,015.60","3,917,898",1
AGCO INC,30071GCNCX2782S,2023,13135050325,33.961834,-84.175742,"8,400.00","8,400.00","29,400",1
ELAN TECHNOLOGY INC,3132WLNTCH169EL,2023,13179010503,31.7975,-81.4121,"8,368.47","8,368.47","48,718,192",1
SOUTHWIRE CO DOUGLAS PLANT,31533TCMSH1545K,2021,13069010701,31.487423,-82.873934,"8,251.70","20,566.70","68,283,807",1
STERLING SPECIALTY CHEMICALS USA LLC,31907CLLWY6603C,2022,13215010502,32.50847,-84.87594,"8,203.76","4,949,908.09","45,304,356",1
ETHICON INC,30531THCNN70CLA,2023,13137000501,34.529402,-83.532652,"8,200.00","50,500.00","5,740",1
TN GEORGIA,30130HVRGR2200P,2023,13117130512,34.16424,-84.16231,"8,189.00","8,189.00","71,903,274,000",1
DARLING INGREDIENTS INC.,30027TLNTP4413T,2022,13063040410,33.633754,-84.312685,"8,183.60","155,179.13","5,156",1
GAF,31408BLDNG1BRAM,2022,13051980000,32.11597,-81.132384,"8,178.90","8,178.90","2,803,713,488",1
GLOBAL TEXTILE SERVICES,30722GLBLT120KE,2023,13313001200,34.73964,-84.96649,"8,138.20","17,536.00","38,102",1
ANHEUSER-BUSCH LLC CARTERSVI LLE BREWERY,30120NHSRB100BU,2021,13015960407,34.2557,-84.7825,"8,112.80","10,110.00","47,628",1
NESTLE PURINA PETCARE,3064WNSTLP266IN,2021,13147960402,34.337444,-82.963372,"8,077.00","8,077.00","807,217",1
KRATON CHEMICAL CO LLC,31415RZNCH121WL,2021,13051980000,32.09786,-81.12113,"8,034.00","9,473.00","11,164,000",1
KRATON CHEMICAL CO LLC,31415RZNCH121WL,2023,13051980000,32.09786,-81.12113,"8,021.00","9,842.20","11,105,600",1
MAR-JAC POULTRY INC-GAINESVILLE PLANT,3050WMRJCP12AVI,2023,13139001304,34.27869,-83.82853,"7,920.00","246,195.00","10,763,680",1
ATLANTA MARBLE MANUFACTURING INC,30030TLNTM224RI,2022,13089022203,33.78131,-84.27098,"7,907.00","7,907.00","27,675",1
BOCA MFG,30188NTRNT308BE,2021,13057091001,34.12152,-84.51026,"7,894.00","7,894.00","27,629",1
SEAGATE TERMINALS SAVANNAH LLC,31404STHRN1600E,2021,13051011800,32.0718,-81.06566,"7,892.00","229,629.00","27,622,000",1
CARLISLE POLYURETHANE SYSTEMS,30120BRTNP100EN,2023,13015960901,34.14721,-84.83538,"7,858.69","76,572.69","1,409,373",1
POLYVENTIVE 140 EXECUTIVE DRIVE,3070WPSGFN14EXE,2023,13129970602,34.47169,-84.92925,"7,847.00","7,847.00","14,947,960",1
GAF,31408BLDNG1BRAM,2021,13051980000,32.11597,-81.132384,"7,831.98","7,831.98","2,668,208,003",1
PUBLIX SUPER MARKETS INC DACULA FACILITY,30245PBLXS445HU,2021,13135050627,33.989706,-83.939331,"7,824.70","78,247.00","4,930",1
HARCROS CHEMICALS INC,30720FRMND134PH,2022,13313001500,34.696746,-84.984612,"7,791.08","35,954.30","47,290",1
RECREATION UNLIMITED LLC,31709CRVLL111MA,2021,13261950700,32.05305,-84.20472,"7,780.00","7,780.00","27,230",1
KRATON CHEMICAL CO LLC,31415RZNCH121WL,2022,13051980000,32.09786,-81.12113,"7,746.80","10,995.50","10,858,240",1
AGCO INC,30071GCNCX2782S,2022,13135050325,33.961834,-84.175742,"7,621.00","7,621.00","26,674",1
UFP GAINESVILLE LLC,30503PNWDP1200P,2021,13139000800,34.2966,-83.80559,"7,612.00","7,612.00","11,418,000",1
SOUTHWIRE CO DOUGLAS PLANT,31533TCMSH1545K,2023,13069010701,31.487423,-82.873934,"7,477.90","13,236.90","48,047,217",1
ANHEUSER-BUSCH LLC CARTERSVI LLE BREWERY,30120NHSRB100BU,2022,13015960407,34.2557,-84.7825,"7,333.40","11,219.00","33,453",1
CAESARSTONE TECHNOLOGIES USA,3132WCSRST1CAES,2021,13029920301,31.87454,-81.350991,"7,325.94","15,592.00","91,946",1
BEKAERT CORP,30162BKRTCHWY41,2022,13115001800,34.21936,-85.173638,"7,319.09","29,910.31","87,971,675",1
